question,label
How did serfdom develop in and then leave Russia ?,0
What films featured the character Popeye Doyle ?,0
How can I find a list of celebrities ' real names ?,0
What fowl grabs the spotlight after the Chinese Year of the Monkey ?,0
What is the full form of .com ?,0
What contemptible scoundrel stole the cork from my lunch ?,0
What team did baseball 's St. Louis Browns become ?,0
What is the oldest profession ?,0
What are liver enzymes ?,0
Name the scar-faced bounty hunter of The Old West .,0
When was Ozzy Osbourne born ?,0
Why do heavier objects travel downhill faster ?,0
Who was The Pride of the Yankees ?,0
Who killed Gandhi ?,0
What is considered the costliest disaster the insurance industry has ever faced ?,0
What sprawling U.S. state boasts the most airports ?,0
What did the only repealed amendment to the U.S. Constitution deal with ?,0
How many Jews were executed in concentration camps during WWII ?,0
What is `` Nine Inch Nails '' ?,0
What is an annotated bibliography ?,0
What is the date of Boxing Day ?,0
What articles of clothing are tokens in Monopoly ?,0
Name 11 famous martyrs .,0
What 's the Olympic motto ?,0
What is the origin of the name ` Scarlett ' ?,0
What 's the second-most-used vowel in English ?,0
Who was the inventor of silly putty ?,0
What is the highest waterfall in the United States ?,0
Name a golf course in Myrtle Beach .,0
Which two states enclose Chesapeake Bay ?,0
What does the abbreviation AIDS stand for ?,0
What does a spermologer collect ?,0
How many points make up a perfect fivepin bowling score ?,0
Which company that manufactures video-game hardware sells the `` super system '' ?,0
How many Community Chest cards are there in Monopoly ?,0
What do Mormons believe ?,0
When did the neanderthal man live ?,0
In what religion was Isis the nature goddess ?,0
Where do the adventures of `` The Swiss Family Robinson '' take place ?,0
What relative of the racoon is sometimes known as the cat-bear ?,0
How can I register my website in Yahoo for free ?,0
What was cash-conscious Colonel Edwin L. Drake the first to drill ?,0
How many people in the world speak French ?,0
How many inches over six feet is the Venus de Milo ?,0
How do they find or choose witnesses to an execution ?,0
What 1920s cowboy star rode Tony the Wonder Horse ?,0
What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,0
What ISPs exist in the Caribbean ?,0
How do you ask a total stranger out on a date ?,0
What weapon is the mythological character Apollo most proficient with ?,0
What country do the Galapagos Islands belong to ?,0
What is ethology ?,0
Who was the prophet of the Muslim people ?,0
Where did the term `` 86ed '' come from ?,0
Who is Snoopy 's arch-enemy ?,0
What is the nature of learning ?,0
What 's the only color Johnny Cash wears on stage ?,0
What 's the term for a young fox ?,0
What U.S. state lived under six flags ?,0
What is the Kashmir issue ?,0
Where is the Loop ?,0
What does `` extended definition '' mean and how would one write a paper on it ?,0
What country 's capital is Tirana ?,0
What is titanium ?,0
Who do Herb and Tootsie live next door to ?,0
Which city has the oldest relationship as a sister city with Los Angeles ?,0
What is a caldera ?,0
Why do people get calluses ?,0
What are the names of the tourist attractions in Reims ?,0
What are Cushman and Wakefield known for ?,0
What body of water does the Danube River flow into ?,0
Who is the founder of Scientology ?,0
What does the six-footed Musca domestica become when it enters a house ?,0
What is the history of skateboarding ?,0
Who starred in Singing in the Rain and The Singing Nun ?,0
How do I make fuel bricks from recycled newspaper ?,0
What 19th-century painter died in the Marquesas Islands ?,0
The corpus callosum is in what part of the body ?,0
How do I log on to home page at Headquarters U.S. European Command ?,0
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",0
What is Nebraska 's most valuable resource ?,0
How many species of the Great White shark are there ?,0
What is the origin of head lice ?,0
What is the nickname for the state of Mississippi ?,0
What was the first domesticated bird ?,0
How many villi are found in the small intestine ?,0
What country did King Wenceslas rule ?,0
What is a fear of shadows ?,0
Who were the five Marx brothers ?,0
In which year was New Zealand excluded from the ANZUS alliance ?,0
When did CNN begin broadcasting ?,0
What causes the body to shiver in cold temperatures ?,0
What are bear and bull markets ?,0
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,0
What is `` dew point '' ?,0
What is the meaning of Jesus ?,0
What company 's logo is a `` W '' in a circle ?,0
What is the definition of a cascade ?,0
When did Rococo painting and architecture flourish ?,0
What country 's national passenger rail system is called Via ?,0
Who invented Make-up ?,0
What is the origin of the word `` attic '' ?,0
What did Delilah do to Samson 's hair ?,0
What kind of animals were in the Paleozoic era ?,0
Which of the following was Rhodes Scholar ?,0
Who comprised the now-defunct comic book team known as the Champions ?,0
How do you make a paintball ?,0
What U.S. state is Fort Knox in ?,0
What is a female rabbit called ?,0
Where is the highest point in Japan ?,0
Where do chihuahuas come from ?,0
